ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001214659-24-005628	2196209	Common Stock				36447.87	F5			I		By Gould Family Trust	F1
0001214659-24-005628	2196210	Common Stock				24139.19	F5			I		By Gould Shenfeld Family Foundation	F2
0001214659-24-005628	2196213	Common Stock				459068.95	F5			D			
0000354950-24-000104	2196305	$.05 Common Stock				12565.0				I		by Charitable Remainder Trust	
0001127602-24-011450	2196299	Common Stock				1000.0				D			
0001127602-24-011448	2196150	Common Stock				100.0				D			
0000950170-24-038660	2196214	Common Stock				10000.0				I		William & Carole Cobb 2000 Family Trust	
0000950170-24-038657	2196248	Common Stock				40260.0				I		See footnote	F3
0001127602-24-011446	2196130	Common Stock				5100.0				D			
0001062993-24-007456	2196170	Common Stock				38870.0				D			
0001062993-24-007455	2196163	Common Stock				15280.97	F1			D			
0001127602-24-011444	2196108	Common Stock				10.0				D			
0001971761-24-000002	2196298	Class A Common Shares				0.0				D			
0001062993-24-007452	2196222	Common Stock				27649.0				I		By Trust	
0001819493-24-000048	2196186	Common Stock				3351.0				D			
0001819493-24-000046	2196254	Common Stock				4801.0				D			
0001819493-24-000044	2196152	Common Stock				4773.0				D			
0001062993-24-007443	2196197	Common Stock				3407.11				I			
0001062993-24-007443	2196196	Common Stock				48534.41				D		401(K) Plan	
0001415889-24-009426	2196187	Common Stock				1045.58	F1			I		By 401(k) Plan	
0001415889-24-009425	2196159	Common Stock				203000.0				I		See footnote	F4
0001415889-24-009425	2196158	Common Stock				559235.0				I		See footnote	F3
0000099780-24-000029	2196162	Common Stock				2843.0				I		401k Plan	
0000950170-24-038621	2196087	Common Stock				9988.0				D			
0000950170-24-038621	2196086	Common Stock				2803.0				I		By Self's IRA	
0000950170-24-038621	2196088	Common Stock				500.0	F5			D			
0000950170-24-038618	2196257	Common Stock				71365.0				D			
0000950170-24-038618	2196258	Common Stock				875.0	F3			D			
0000950170-24-038618	2196259	Common Stock				750.0	F4			D			
0000950170-24-038618	2196255	Common Stock				1200.0				I		By Self and Maria Saravanos as Custodian for son, Kostos Anthony Saravanos	
0000950170-24-038618	2196256	Common Stock				140.0				I		By Anthony Saravanos IRA	
0000950170-24-038618	2196260	Common Stock				34000.0	F5			D			
0000950170-24-038616	2196220	Common Stock				750.0	F3			D			
0000950170-24-038616	2196221	Common Stock				34000.0	F4			D			
0000950170-24-038616	2196219	Common Stock				875.0	F2			D			
0001628280-24-013779	2196309	Ordinary Shares				434428.0				D			
0001415889-24-009421	2196292	Common Stock				126635.0				I		by GKF, LLC	F2
0000950170-24-038595	2196164	Class V common stock				44100000.0				I		By BT Assets, Inc.	F4
0001965021-24-000045	2196140	Common Stock				9162.94	F2			I		by 401(k) Plan	
0001415889-24-009406	2196131	Common Stock				54880.0	F1			D			
0001127602-24-011442	2196202	Common Stock				11642.82				I		By 401(k)	F2
0001127602-24-011442	2196201	Common Stock				279010.23				I		By ESOP	F1
0001127602-24-011442	2196200	Common Stock				8000.0				I		By Custodian for Child	
0001127602-24-011442	2196198	Common Stock				70625.0				I		By Spouse	
0001127602-24-011442	2196199	Common Stock				23435.0				I		By Spouse's Trust	
0002001320-24-000001	2196156	Common Stock				2142800.0				D			
0002001320-24-000001	2196157	Series B-1 Preferred Stock				4309710.0	F2, F1			D			
0000939269-24-000003	2196265	Common Stock				2473030.0				I		BY ROWLAND DAY AND JAIMIE D. DAY FAMILY TRUST	
0000939269-24-000003	2196266	Series B-1 Preferred Stock				4309710.0	F1			I		BY ROWLAND DAY AND JAIMIE D. DAY FAMILY TRUST	
0001415889-24-009403	2196291	Common Stock				13255.87				I		By ESOP	
0001415889-24-009402	2196135	Common Stock				15576.95				I		By ESOP	
0000950170-24-038530	2196103	Common Stock				10000.0				I		See Footnote	F4
0000950170-24-038530	2196102	Common Stock				10000.0				I		See Footnote	F3
0001415889-24-009401	2196160	Common Stock				5254.03				I		By ESOP	
0001415889-24-009399	2196118	Common Stock				1423.13				I		ESOP	
0000910073-24-000105	2196277	Common Stock				11220.0				I		By Stock Award (012324)	F2
0001127602-24-011437	2196106	Common Stock				3814.0				D			
0000910073-24-000104	2196183	Common Stock				11220.0	F2			I		By Stock Award (012324)	
0001415889-24-009397	2196143	Common Stock				13692.0				I		By IRA	
0001415889-24-009397	2196142	Common Stock				38107.0				I		As Trustee of Colombo Family Trust	
0000910073-24-000103	2196232	Common Stock				11220.0	F2			I		By Stock Award (012324)	
0001209191-24-005134	2196261	Class C Capital Stock				35579.0				D			
0001209191-24-005134	2196262	Class C Google Stock Units	F1			30900.0				D			
0001209191-24-005134	2196263	Class C Google Stock Units	F2			98731.0				D			
0001363607-24-000006	2196207	Common Stock				27862.75	F3			I		By 401(k) Plan	
0001363607-24-000006	2196206	Common Stock				1000.0				I		By Sons	
0001362786-24-000006	2196243	Common Stock				22215.71	F5			I		By 401(k) Plan	
0001577289-24-000007	2196193	Common Stock				10917.62	F2			I		By 401(K) Plan	
0001850356-24-000004	2196217	Common Stock				10000.0				I		By Trust	F3
0001927571-24-000006	2196289	Common Stock				70279.08	F2			I		By 401KSOP	
0001927571-24-000006	2196288	Common Stock				64.0				I		By Daughter	
0001572890-24-000006	2196223	Common Stock				9600.0				I		By Sons	
0001572890-24-000006	2196224	Common Stock				184941.64	F4			I		By 401(k) Plan	
0001668793-24-000006	2196113	Common Stock				28886.24	F4			I		By 401(K) Plan	
0001572888-24-000006	2196134	Common Stock				14543.79	F4			I		By 401(k) Plan	
0001927362-24-000006	2196303	Common Stock				35967.05	F2			I		By 401KSOP	
0001929436-24-000006	2196129	Common Stock				28723.58	F2			I		By 401KSOP	
0001634938-24-000006	2196132	Common Stock				3681.45	F2			I		By 401K Plan	
0001062993-24-007432	2196117	Common Stock - Voting				5238.54				D			
0001062993-24-007432	2196116	Common Stock - Voting				3983.54				D			
0001062993-24-007430	2196264	Common Stock - Voting				10482.0				D			
0001062993-24-007428	2196250	Common Stock - Voting				27755.44				D			
0001062993-24-007428	2196251	Common Stock - Non Voting				2620.0				D			
0001062993-24-007426	2196208	Common Stock - Voting				10766.0				D			
0001062993-24-007424	2196242	Common Stock - Non Voting				13059.21				D			
0001062993-24-007424	2196241	Common Stock - Voting				98863.69				D			
0001062993-24-007422	2196279	Common Stock - Non Voting				5000.0				D			
0001062993-24-007420	2196204	Common Stock - Non Voting				4234.0				D			
0001062993-24-007420	2196203	Common Stock - Voting				40436.0				D			
0001062993-24-007418	2196137	Common Stock - Voting				24732.0				D			
0001062993-24-007418	2196138	Common Stock - Non Voting				1191.5				D			
0001062993-24-007416	2196161	Common Stock - Voting				383.0				D			
0001062993-24-007414	2196290	Common Stock - Voting				15286.0				D			
0001062993-24-007412	2196253	Common Stock - Voting				2106.19				D			
0001062993-24-007410	2196109	Common Stock - Voting				99131.01				D			
0001062993-24-007410	2196110	Common Stock - Non Voting				1136.0				D			
0001062993-24-007408	2196144	Common Stock - Voting				112048.34				D			
0001062993-24-007408	2196145	Common Stock - Non Voting				207.75				D			
0001062993-24-007406	2196267	Common Stock - Voting				3438.0				D			
0001062993-24-007404	2196111	Common Stock - Voting				3616.68				D			
0001062993-24-007402	2196172	Common Stock - Voting				3284.0				D			
0001062993-24-007402	2196173	Common Stock - Non Voting				1174.0				D			
0001062993-24-007400	2196121	Common Stock - Non Voting				318.43				D			
0001062993-24-007400	2196120	Common Stock - Voting				5227.78				D			
0001062993-24-007398	2196282	Common Stock - Non Voting				406.0				D			
0001062993-24-007398	2196281	Common Stock - Voting				61917.0				D			
0001209191-24-005132	2196128	Class C Google Stock Units	F4			160.0				D			
0001209191-24-005132	2196127	Class C Google Stock Units	F3			2309.0				D			
0001209191-24-005132	2196125	Class C Google Stock Units	F1			880.0				D			
0001209191-24-005132	2196126	Class C Google Stock Units	F2			1760.0				D			
0000912282-24-000331	2196174	Common Shares				10000.0				I		Held in IRA	
0000912282-24-000331	2196175	Common Shares				42552.0				D			
0000950170-24-038455	2195975	Common Stock				354078.0	F1			D			
0000022444-24-000071	2195936	Common Stock				283785.0				I		By Limited Partnership	
0001225208-24-004627	2195917	Class A Common Stock				251000.0				I		MCH Irrev. Trust	F2
0001225208-24-004627	2195916	Class A Common Stock				48327.0				I		MCH Investments, LLC	F2
0001225208-24-004627	2195906	Class A Common Stock				47129.0				D		2021 Trust	
0001225208-24-004627	2195907	Class A Common Stock-Dir. Def. Stock Comp Plan-1				2435.0				D		By Spouse	F2
0001225208-24-004627	2195908	Class A Common Stock				9100.0				I		By Spouse	F2
0001225208-24-004627	2195909	Class A Common - Restricted Stock Units				2220.0				I		Generations Trust	F2
0001225208-24-004627	2195910	Class A Common Stock				20160.0				I		Grandchildren Multi-Trust	F2
0001225208-24-004627	2195911	Class A Common Stock				240000.0				I		JWM Family Enterprises	F2
0001225208-24-004627	2195912	Class A Common Stock				11910.0				I		JWM III Trustee 1	F2
0001225208-24-004627	2195913	Class A Common Stock				22027118.0				I		JWM III Trustee 2	F2
0001225208-24-004627	2195914	Class A Common Stock				70203.0				I		JWM III Trustee 3	F2
0001225208-24-004627	2195915	Class A Common Stock				60636.0				I		JWM Insurance Trust	F2
0001225208-24-004627	2195920	Class A Common Stock				90561.0				I		The Harrison Generation Trust	F2
0001225208-24-004627	2195919	Class A Common Stock				57420.0				I		SMH Irrev. Trust	F2
0001225208-24-004627	2195921	Class A Common Stock				12658.0				I			
0001225208-24-004627	2195922	Class A Common Stock				245210.0				I			
0001225208-24-004627	2195918	Class A Common Stock				34920.0				I		SMH Investments, LLC	F2
0000950170-24-038360	2196066	Class A Common Stock				41324.0				D		See Footnote	F4
0000950170-24-038360	2196067	Class A Common Stock				1816.0				I			
0001104659-24-040751	2195980	Common Stock, $0.01 par value per share				950000.0	F1			D			
0001104659-24-040730	2195873	Common Stock, par value $0.0001 per share				2170.0				D			
0000919574-24-002241	2195981	Common Stock, par value $0.0001 per share	F3			16600.0				D	F4		
0001628280-24-013692	2195966	Class A Common Stock				7683313.0				I		By Ares Owners Holdings L.P.	F11
0001408939-24-000002	2195972	Common Stock				908200.0				D			
0001047340-24-000082	2196013	Ordinary Shares				108.01				D			
0001493152-24-011826	2195871	Common Stock				1501880.0				I		RD Capital Holdings Pty Ltd	
0001493152-24-011826	2195872	Common Stock				6782.0				I		Delle Coste Family Trust	
0001415889-24-009387	2195948	Common Stock				196718.0				I		See footnote	F2
0001415889-24-009385	2195988	Common Stock				4039.0				I		See footnote	F2
0001225208-24-004626	2195979	Series C Liberty SiriusXM Common Stock				179130.0	F1			I		Maven 2017 - 2 GRAT	F2
0001225208-24-004626	2195978	Series C Liberty Live Common Stock				97007.0				I		Maven 2017 - 2 GRAT	F2
0001610717-24-000190	2195977	Common Stock				93158.0				I		See footnote	F2
0001596532-24-000123	2196021	Common Stock				12000.0				I			
0001596532-24-000123	2196019	Common Stock				17681.0				D		By Trust for Nephew	F5
0001596532-24-000123	2196020	Common Stock				12000.0				I		By Trust for Niece	F5
0001062993-24-007387	2195951	Common Stock				750.0				I		By Trusts	F2
0001712184-24-000130	2195970	Class C Common Shares				2011791.0	F4			I		By A Trust	
0001712184-24-000130	2195971	Class C Common Shares				266574.0	F5			I		By Spouse	
0001474506-24-000118	2195997	Common Stock, par value $0.0001 per share				78750000.0	F1			D			
0001315098-24-000067	2196083	Class A Common Stock				1319500.0				I			
0001315098-24-000067	2196082	Class A Common Stock				869250.0				I		See Footnotes	F7
0001315098-24-000067	2196081	Class A Common Stock				869250.0				I		See Footnotes	F6
0001315098-24-000067	2196080	Class A Common Stock				10814.0	F4			D		See Footnotes	F5
0001315098-24-000065	2195976	Class  A Common Stock				341131.0	F1			D			
0002016680-24-000007	2196008	Common Stock Par Value $0.10 Per Share				3610.0				D			
0001209191-24-005130	2195996	Class A Common Stock				2568.0				I		By AD Holdings, LLC	F16
0001209191-24-005130	2195995	Class A Common Stock				1147460.0	F14			I		By Trust	F15
0001683168-24-001833	2196059	Common Stock, no par value				27343.0				I		See Footnote	F4
0001225208-24-004623	2196084	Common Stock				384876.82				I		By Executive Deferred Compensation Plan	F2
0001225208-24-004622	2195968	Common Stock				278161.11				I		By Executive Deferred Compensation Plan	F2
0001225208-24-004622	2195969	Common Stock				17829.11				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001062993-24-007384	2196062	Common Stock, par value $.01				1569870.0				I		Owned by Momar Corporation	F3
0001062993-24-007384	2196063	Common Stock, par value $.01				7598.0				I		Owned by United Equities Commodities Company	F4
0001062993-24-007384	2196061	Common Stock, par value $.01				2522011.0				I		Owned by KF Investors LLC	F2
0001062993-24-007384	2196065	Common Stock, par value $.01				48875.0				I		Owned by 111 John Realty Corp.	F6
0001062993-24-007384	2196064	Common Stock, par value $.01				87720.0				I		Owned by Marneu Holding Company	F5
0001225208-24-004620	2195899	Common Stock				327.35				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0000950170-24-038253	2195941	Class A Common Stock				646713.0				I		By Foxhill Family Partnership, LP	F1
0001225208-24-004618	2195904	Common Stock				86535.49				I		By Executive Deferred Compensation Plan	F2
0001225208-24-004618	2195905	Common Stock				3112.85				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001728117-24-000041	2195887	Common Stock				45892.0				I		By family trust	
0001728117-24-000041	2195888	Common Stock				22222.0				I		By trust FBO son	
0001728117-24-000039	2196012	Common Stock				380010.0				I		By family trust	
0001225208-24-004615	2195886	Common Stock				1924.43				I		By Spouse	F2
0001225208-24-004615	2195885	Common Stock				88296.1				I		By Issuer's Supplemental Stock Purchase and Tax Savings Plan	F2
0001225208-24-004615	2195884	Common Stock				49526.92				I		By Issuer's Investment and Tax Savings Plan (401(k) Plan)	F2
0001225208-24-004615	2195882	Common Stock				2872505.0				I		By Family Trusts	F2
0001225208-24-004615	2195883	Common Stock				578750.0				I		by GRATS	F2
0001225208-24-004615	2195881	Common Stock				3344093.33				I		By Executive Deferred Compensation Plan	F2
0001728117-24-000037	2196033	Common Stock				5036073.0				I		By family trust	
0001679788-24-000057	2195938	Class A Common Stock				4662.0				D		By Paradigm Fund, LP	F15
0001679788-24-000057	2195939	Class A Common Stock				2583752.0				I		By Paradigm One LP	F16
0001679788-24-000057	2195940	Class A Common Stock				1931844.0				I			
0000091419-24-000018	2196023	Common Shares				4762.0				I		By 401(k)	
0001104659-24-040642	2196057	Common Stock				1200.0	F2			I		By daughter	
0001104659-24-040642	2196058	Common Stock				600.0	F2			I		By son	
0001618921-24-000036	2195963	Common Stock				0.0				D			
0001683168-24-001831	2196001	Common Stock, no par value				22216.0				I		See Footnote	F3
0001683168-24-001831	2196002	Common Stock, no par value				4636.0				I		See Footnote	F4
0001683168-24-001831	2196003	Common Stock, no par value				500000.0				I		See Footnote	F5
0001127602-24-011391	2196022	Common Stock				10000000.0				I	F12	By Marc Benioff Fund LLC	
0001385613-24-000034	2196076	ORDINARY SHARES				25000.0				I		By Ian Isaacs IRA	
0001385613-24-000034	2196075	ORDINARY SHARES				25000.0				I		By Isaacs Living Trust	
0000897069-24-000793	2195961	Class B common stock, par value $0.01 per share				809409.0				I		See Footnote	F6
0000897069-24-000793	2195962	Class B common stock, par value $0.01 per share				596158.0				I			
0000897069-24-000793	2195960	Class B common stock, par value $0.01 per share				57820586.0				D		By trust	F5
0001415889-24-009362	2196017	Common Class A				650.0				I	F2	See Footnote	F2
0001415889-24-009362	2196016	Common Class A				7300.0				I	F1	See Footnote	F1
0001415889-24-009362	2196015	Common Class A - Retirement Plan				37977.0				D			
0000950170-24-038211	2195934	Common Stock				2197.0				I		By 401(k) plan	
0000950170-24-038205	2195949	Common Stock				104571.0				D			
0000950170-24-038199	2196009	Common Stock				123754.0				I		By Trust	
0000950170-24-038194	2195942	Common Units				1477.0				D			
0001871800-24-000005	2195890	Class A Common Stock				5500.0				I		By Spouse	F4
0001127602-24-011386	2196014	Common Stock				0.0				D			
0001225208-24-004608	2195998	Common Stock, $.01 Par Value				1734.12	F2			I		By 401(k)	
0001225208-24-004608	2195999	Common Stock, $.01 Par Value				99918.0				I		By GRAT	
0001225208-24-004608	2196000	Common Stock, $.01 Par Value				153801.0				I		By Trust	
0000929638-24-001298	2196050	Common Stock				1002207.0				I		See Footnotes	F3, F1
0000921895-24-000743	2195891	Common Stock				100422.0				D			
0001453687-24-000050	2196079	Common Stock				33043849.0				I			
0001453687-24-000050	2196078	Common Stock				7471625.0				D		See Footnote	F7
0001104659-24-040609	2195983	5.25% Series E Term Preferred Stock due 2026				36294.0				I		See footnotes	F2, F3, F1
0000921895-24-000742	2196047	Common Stock				12300.0				I		By Industrial Manufacturing Institute, LLC	F2
0000921895-24-000742	2196049	Common Stock				300.0				I			
0000921895-24-000742	2196045	Common Stock				148089.0				D		By Mitchell Quain Revoc. Liv. Trust U/A 1/25/18	F1
0000921895-24-000742	2196046	Common Stock				109047.0				I		By IRA	
0000921895-24-000742	2196048	Common Stock				3200.0				I		By Family Trust Partnership, LLC	F3
0000921895-24-000741	2195964	Common Stock				144322.0				D			
0000921895-24-000740	2196051	10% Series A Cumulative Perpetual Preferred Stock				1182414.0				D			
0000921895-24-000740	2196052	Common Stock				4062485.0				D			
0000921895-24-000739	2195898	Common Stock				104320.0				D			
0000921895-24-000738	2195974	Common Stock				11603.0				D			
0001415889-24-009350	2195878	Common Stock				34557.0				I		MS Trust II	F2
0001415889-24-009350	2195877	Common Stock				35307.47				I		MS Trust I	F2
0001415889-24-009350	2195880	Common Stock				33300.0				I		MS Trust V	F2
0001415889-24-009350	2195879	Common Stock				34557.0				I		MS Trust III	F2
0001415889-24-009349	2196006	Common Stock				3829502.0				I		By Trust	
0001415889-24-009349	2196005	Common Stock				131382.0				I		By Spouse	
0001415889-24-009349	2196004	Common Stock				27000000.0				I		By FCH TBME LLC	F1
0001415889-24-009349	2196007	Common Stock				15000.0				I		By Limited Partnerships	
0001491981-24-000002	2195986	Common Stock				771.41	F2			I		By Heifer Investment Corporate Account	
0001278521-24-000002	2195923	Common Stock				16515316.0				D		Discretionary Trust	
0001278521-24-000002	2195924	Common Stock				2877465.0				I			
0001415889-24-009338	2195931	Common Stock				142.61	F1			I		By 401(k) Plan	
0001127602-24-011380	2196069	Common Stock				7250.0				I		By R. Brad Martin Family Foundation	
0001127602-24-011380	2196071	Common Stock				750.0				I		By Child's Trust 1	
0001127602-24-011380	2196070	Common Stock				2100.0				I		By Wife	
0001127602-24-011380	2196073	Common Stock				750.0				I		By Child's Trust 3	
0001127602-24-011380	2196072	Common Stock				750.0				I		By Child's Trust 2	
0001127602-24-011380	2196068	Common Stock				55000.0				I		By GRATs	
0001127602-24-011377	2195965	Common Stock				402.0	F1			I		Retirement Plan	
0001397911-24-000043	2196039	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #6	F2
0001397911-24-000043	2196044	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #11	F2
0001397911-24-000043	2196043	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #10	F2
0001397911-24-000043	2196042	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #9	F2
0001397911-24-000043	2196041	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #8	F2
0001397911-24-000043	2196040	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #7	F2
0001397911-24-000043	2196038	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #5	F2
0001397911-24-000043	2196037	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #4	F2
0001397911-24-000043	2196036	Common Stock				148.0				I		By Co-Trustee of Grandchild's Trust #3	F2
